R_in_CGS,V_in_CGS,Bo,We,Coefficient of Restitution,Contact Time,Maximum Radius
0.02,2.6530612244897958,0.0054444444444444445,0.001955203850247582,0.9505203629024499,4.3010402002078685,0.24113966579286206
0.02,2.836734693877551,0.0054444444444444445,0.002235295478735712,0.9509382973726143,4.238139309104419,0.24115661684233552
0.02,3.0204081632653064,0.0054444444444444445,0.0025341292979776946,0.9518337883966049,4.189045930682214,0.2410251655649181
0.02,3.2040816326530615,0.0054444444444444445,0.00285170530797353,0.9522181126802014,4.126145039578763,0.24087672841893445
0.02,3.3877551020408165,0.0054444444444444445,0.0031880235087232175,0.9524700227304329,4.057107476172538,0.24074144903558248
0.02,3.5714285714285716,0.0054444444444444445,0.0035430839002267575,0.9527173269837145,3.997274921220475,0.24062164240109432
0.02,3.7551020408163267,0.0054444444444444445,0.00391688648248415,0.9528991513951122,3.9389765343441066,0.2405078823840334
0.02,3.938775510204082,0.0054444444444444445,0.0043094312554953955,0.9529087650605023,3.8852806516948197,0.24035633530055764
0.02,4.122448979591837,0.0054444444444444445,0.004720718219260495,0.9527202734574564,3.8407897774996966,0.24053719315122873
0.02,4.3061224489795915,0.0054444444444444445,0.005150747373779444,0.9524192712084263,3.800901407531655,0.24073625507611973
0.02,4.4897959183673475,0.0054444444444444445,0.005599518719052249,0.9520641431247415,3.7656155417906954,0.24093573458755396
0.02,4.673469387755102,0.0054444444444444445,0.0060670322550789016,0.9516598002110469,3.734932180276817,0.24113672385297258
0.02,4.857142857142858,0.0054444444444444445,0.006553287981859412,0.9512018859209331,3.7088513229900206,0.24132601185825625
0.02,5.040816326530613,0.0054444444444444445,0.007058285899393771,0.95067937331754,3.682770465703224,0.24153149780758437
0.02,5.224489795918368,0.0054444444444444445,0.007582026007681986,0.9500965864652097,3.661292112643509,0.24172557125349375
0.02,5.408163265306123,0.0054444444444444445,0.008124508306724051,0.9499521254113207,3.6352112553567126,0.3076412642834817
0.02,5.591836734693878,0.0054444444444444445,0.00868573279651997,0.9498934454718545,3.613732902296998,0.3075207899373969
0.02,5.775510204081633,0.0054444444444444445,0.00926569947706974,0.9498855725751227,3.5968570534643654,0.30744520777670314
0.02,5.959183673469388,0.0054444444444444445,0.009864408348373365,0.9506505203306509,3.5769128684803446,0.3074483305161976
0.02,6.142857142857143,0.0054444444444444445,0.01048185941043084,0.9515326109585145,3.556968683496324,0.3074749657311021
0.02,6.326530612244898,0.0054444444444444445,0.01111805266324217,0.9523341286289415,3.535490330436609,0.30750105716779164
0.02,6.510204081632653,0.0054444444444444445,0.01177298810680735,0.9529474166624786,3.5155461454525883,0.30747448911426156
0.02,6.6938775510204085,0.0054444444444444445,0.012446665741126385,0.9533938015607734,3.4956019604685675,0.3074664530565343
0.02,6.877551020408164,0.0054444444444444445,0.01313908556619927,0.9537064231939647,3.4771919435602405,0.30747260040758473
0.02,7.061224489795919,0.0054444444444444445,0.01385024758202601,0.9539031507184057,3.4572477585762194,0.30744165363764586
0.02,7.244897959183674,0.0054444444444444445,0.014580151788606601,0.9539857033989544,3.440371909743587,0.3073616300188892
0.02,7.428571428571429,0.0054444444444444445,0.015328798185941045,0.9539589479085852,3.4219618928352595,0.3072275124175824
0.02,7.612244897959184,0.0054444444444444445,0.01609618677402934,0.9538390008104541,3.405086044002627,0.30715096850020257
0.02,7.795918367346939,0.0054444444444444445,0.016882317552871492,0.953647252984431,3.388210195169994,0.30709741584222155
0.02,7.979591836734694,0.0054444444444444445,0.01768719052246749,0.9534005175208117,3.372868514413055,0.30737304502505725
0.02,8.16326530612245,0.0054444444444444445,0.018510805682817346,0.9531164788218306,3.3575268336561157,0.3076625772814273
0.02,8.346938775510203,0.0054444444444444445,0.01935316303392105,0.9528048577487401,3.3421851528991766,0.30796158411182295
0.02,8.53061224489796,0.0054444444444444445,0.020214262575778612,0.9524738454930948,3.3268434721422375,0.3082655781037478
0.02,8.714285714285715,0.0054444444444444445,0.021094104308390024,0.952177344881139,3.3130359594609926,0.3712578744441908
0.02,8.89795918367347,0.0054444444444444445,0.02199268823175529,0.9520695780968578,3.2992284467797472,0.3715540659046509
0.02,9.081632653061225,0.0054444444444444445,0.02291001434587441,0.9521204852676084,3.2900234383255835,0.3716519492827852
0.02,9.26530612244898,0.0054444444444444445,0.023846082650747377,0.9522617041428771,3.2808184298714202,0.37167451555793196
0.02,9.448979591836736,0.0054444444444444445,0.024800893146374202,0.9524375981326857,3.268545085265869,0.37173712489873356
0.02,9.63265306122449,0.0054444444444444445,0.025774445832754872,0.9526728646918593,3.256271740660318,0.37181601906308487
0.02,9.816326530612246,0.0054444444444444445,0.026766740709889405,0.9529199861830634,3.242464227979073,0.3719518406613238
0.02,10.0,0.0054444444444444445,0.027777777777777776,0.953155581936647,3.2286567152978276,0.372028702581388
0.02,14.0,0.0054444444444444445,0.05444444444444444,0.9512478548303894,3.009270680473599,0.4347584139327335
0.02,14.73469387755102,0.0054444444444444445,0.06030866768476098,0.9509590520500174,2.978587318959721,0.43603787030482005
0.02,15.46938775510204,0.0054444444444444445,0.06647276597713915,0.9503802711506235,2.9479039574458428,0.4373240043516975
0.02,16.20408163265306,0.0054444444444444445,0.07293673932157897,0.9494765589909981,2.9218231001590462,0.43798317972479395
0.02,16.93877551020408,0.0054444444444444445,0.07970058771808043,0.9482800032579933,2.897276410947944,0.4387424081410687
0.02,17.6734693877551,0.0054444444444444445,0.08676431116664353,0.9465382823714231,2.8788663940396164,0.48424146222368175
0.02,18.408163265306122,0.0054444444444444445,0.09412790966726826,0.9449265010996437,2.857388040979902,0.48811565613308294
0.02,19.142857142857142,0.0054444444444444445,0.10179138321995464,0.9433804292540396,2.8359096879201875,0.49137002275127506
0.02,19.877551020408163,0.0054444444444444445,0.10975473182470266,0.9416994249801406,2.8174996710118605,0.4952205797249817
0.02,20.612244897959183,0.0054444444444444445,0.11801795548151234,0.9400370690405221,2.7990896541035335,0.4999941530538301
0.02,21.346938775510203,0.0054444444444444445,0.12658105419038362,0.9383179342764014,2.780679637195207,0.5020521728127134
