R_in_CGS,V_in_CGS,Bo,We,Oh,Alpha Coefficient of restitution,Center Coefficient of restitution,Contact time ND,Contact time CGS,Min north pole height ND,Min north pole height CGS,Time min north pole height ND,Time min north pole height CGS,clea radius ND,Max radius CGS,Time of max radius ND,Time of max radius CGS,Max contact radius ND,Max contact radius CGS,Time max contact radius ND,Time max contact radius CGS,Max radial projection ND,Max radial projection CGS,Time max radial projection ND,Time max radial projection CGS,Min side height ND,Min side height CGS,Time min side height ND,Time min side height CGS
nothing,nothing,0.0,1.33e-5,0.0,0.957712455850079,0.9577124558500791,5.213870205245744,5.213870205245744,1.992831435700893,1.992831435700893,2.2536929031943496,2.2536929031943496,1.000733820251369,1.000733820251369,4.930816195280218,4.930816195280218,0.17399888302947886,0.17399888302947886,4.633187588595599,4.633187588595599,0.9998763629143306,0.9998763629143306,2.0496485491270597,2.0496485491270597,1.993617720397371,1.993617720397371,2.5482531737275798,2.5482531737275798
nothing,nothing,0.0,1.68e-5,0.0,0.9577124426684847,0.9577124426684847,5.124888456855496,5.124888456855496,1.9921615836021447,1.9921615836021447,2.1999970205450627,2.1999970205450627,1.0008247417609928,1.0008247417609928,4.877120312630931,4.877120312630931,0.17400440736877765,0.17400440736877765,4.581025874022006,4.581025874022006,0.9999542096616456,0.9999542096616456,1.9959526664777731,1.9959526664777731,1.993045291185279,1.993045291185279,2.494557291078293,2.494557291078293
nothing,nothing,0.0,2.12e-5,0.0,0.9577124468134882,0.9577124468134883,5.0420433807680265,5.0420433807680265,1.9914121233771496,1.9914121233771496,2.1524378101985517,2.1524378101985517,1.0009264683878254,1.0009264683878254,4.82956110228442,4.82956110228442,0.17400980568430652,0.17400980568430652,4.533466663675496,4.533466663675496,1.000041307938477,1.000041307938477,1.9483934561312621,1.9483934561312621,1.9924048305809907,1.9924048305809907,2.4485322488074757,2.4485322488074757
nothing,nothing,0.0,2.68e-5,0.0,0.9577124542612567,0.9577124542612567,4.966869145059024,4.966869145059024,1.990563395944108,1.990563395944108,2.111015272154816,2.111015272154816,1.001041671229673,1.001041671229673,4.788138564240684,4.788138564240684,0.17401571153605716,0.17401571153605716,4.490509957556066,4.490509957556066,1.0001399450513677,1.0001399450513677,1.9069709180875265,1.9069709180875265,1.9916795418394178,1.9916795418394178,2.4055755426880463,2.4055755426880463
nothing,nothing,0.0,3.9e-5,0.0,0.9577124551457531,0.9577124551457531,4.857943211684757,4.857943211684757,1.9889799798960817,1.9889799798960817,2.0527168852784476,2.0527168852784476,1.0012565966873967,1.0012565966873967,4.7298401773643155,4.7298401773643155,0.1740273574600259,0.1740273574600259,4.432211570679698,4.432211570679698,1.000323963628675,1.000323963628675,1.848672531211158,1.848672531211158,1.9903264171347343,1.9903264171347343,2.347277155811678,2.347277155811678
nothing,nothing,0.0,4.29e-5,0.0,0.9577124449524725,0.9577124449524725,4.833396522473654,4.833396522473654,1.9885281233994998,1.9885281233994998,2.0389093725972027,2.0389093725972027,1.001317927807785,1.001317927807785,4.716032664683071,4.716032664683071,0.17403141190107402,0.17403141190107402,4.419938226074146,4.419938226074146,1.000376474828847,1.000376474828847,1.834865018529913,1.834865018529913,1.9899402782977522,1.9899402782977522,2.3350038112061267,2.3350038112061267
nothing,nothing,0.0,5.43e-5,0.0,0.9577124541764827,0.9577124541764827,4.775098135597286,4.775098135597286,1.9873139518436291,1.9873139518436291,2.0097601791590183,2.0097601791590183,1.0014827336902505,1.0014827336902505,4.686883471244887,4.686883471244887,0.17403973944508183,0.17403973944508183,4.389254864560268,4.389254864560268,1.0005175823619399,1.0005175823619399,1.8057158250917287,1.8057158250917287,1.9889026941536174,1.9889026941536174,2.3043204496922485,2.3043204496922485
nothing,nothing,0.0,6.87e-5,0.0,0.9577124487712704,0.9577124487712703,4.722936421023693,4.722936421023693,1.9859505825478339,1.9859505825478339,1.982145153796528,1.982145153796528,1.001667787546245,1.001667787546245,4.659268445882396,4.659268445882396,0.17405030001354954,0.17405030001354954,4.3631740072734715,4.3631740072734715,1.0006760247204234,1.0006760247204234,1.7796349678049324,1.7796349678049324,1.9877376096527053,1.9877376096527053,2.278239592405452,2.278239592405452
nothing,nothing,0.0,8.69e-5,0.0,0.9577124421387623,0.9577124421387623,4.676911378752876,4.676911378752876,1.9844185371609901,1.9844185371609901,1.9591326326611194,1.9591326326611194,1.0018757429300613,1.0018757429300613,4.636255924746988,4.636255924746988,0.17406235037647222,0.17406235037647222,4.340161486138063,4.340161486138063,1.0008540751112591,1.0008540751112591,1.7550882785938298,1.7550882785938298,1.9864283881009128,1.9864283881009128,2.2536929031943496,2.2536929031943496
nothing,nothing,0.0,0.0001,0.0,0.9577124538907823,0.9577124538907824,4.652364689541773,4.652364689541773,1.9834134799934375,1.9834134799934375,1.9468592880555682,1.9468592880555682,1.0020121628805607,1.0020121628805607,4.623982580141436,4.623982580141436,0.17406860638774624,0.17406860638774624,4.326353973456818,4.326353973456818,1.0009708793607672,1.0009708793607672,1.7428149339882786,1.7428149339882786,1.9855695033876097,1.9855695033876097,2.2414195585887984,2.2414195585887984
